patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0793,7/12/22,TECA,Eastern box turtle,Lenoir,Caldwell,R,8/4/22
2022-0794,7/12/22,HOFI,House finch,Asheville,Buncombe,E,8/15/22
2022-0795,7/12/22,BWHA,Broad-winged hawk,Canton,Haywood,D,7/13/22
2022-0796,7/12/22,BRTH,Brown thrasher,Brevard,Transylvania,D24,7/12/22
2022-0797,7/12/22,HOFI,House finch,Asheville,Buncombe,EOA,7/12/22
2022-0798,7/12/22,GBHE,Great blue heron,Fairview,Buncombe,D24,7/13/22
2022-0799,7/12/22,TECA,Eastern box turtle,,NA,E,7/14/22
2022-0800,7/12/22,RTHA,Red-tailed hawk,Hays,Wilkes,R,9/19/22
2022-0801,7/12/22,MODO,Mourning dove,Sugar Grove,Watauga,R,8/23/22
2022-0802,7/13/22,RODO,Rock dove,Morganton,Burke,R,12/1/22
2022-0803,7/13/22,ODVI,White-tailed deer,,NA,DOA,7/13/22
2022-0804,7/13/22,GBHE,Great blue heron,Creston,Ashe,D,7/15/22
2022-0805,7/13/22,CEWA,Cedar waxwing,Newland,Avery,R,9/20/22
2022-0806,7/14/22,BARS,Barn swallow,,NA,R,8/3/22
2022-0807,7/14/22,SYFL,Eastern cottontail,Millers creek,NA,D24,7/14/22
2022-0808,7/14/22,AMRO,American robin,Newland,Avery,R,8/4/22
2022-0809,7/14/22,ELOB,Rat snake,Banner Elk,Avery,DOA,7/14/22
2022-0810,7/14/22,MODO,Mourning dove,Boone,Watauga,D,7/16/22
2022-0811,7/15/22,EAPH,Eastern phoebe,Roaring Creek,NA,D24,7/16/22
2022-0812,7/15/22,RBWO,Red-bellied woodpecker,Asheville,Buncombe,R,8/2/22
2022-0813,7/15/22,NOCA,Northern cardinal,Banner Elk,Avery,D24,7/15/22
2022-0814,7/15/22,TECA,Eastern box turtle,Marion,McDowell,D24,7/16/22
2022-0815,7/15/22,HOWR,House wren,,NA,R,8/1/22
2022-0816,7/15/22,HOWR,House wren,,NA,R,8/1/22
2022-0817,7/15/22,HOWR,House wren,,NA,R,8/1/22
2022-0818,7/15/22,HOWR,House wren,,NA,D24,7/16/22
2022-0819,7/15/22,HOWR,House wren,,NA,R,8/1/22
2022-0820,7/15/22,HOWR,House wren,,NA,R,8/1/22
2022-0821,7/16/22,MODO,Mourning dove,Boone,Watauga,D24,7/16/22
2022-0822,7/16/22,DIVI,Virginia opossum,Boone,Watauga,D24,7/16/22
2022-0823,7/16/22,ODVI,White-tailed deer,Boone,Watauga,D24,7/17/22
2022-0824,7/16/22,AMCR,American crow,Waynesville,Haywood,E,9/21/22
2022-0825,7/16/22,COHA,Cooper's Hawk,hendersonville,Haywood,R,8/26/22
2022-0826,7/16/22,MALL,Mallard,,NA,E24,7/16/22
2022-0827,7/16/22,SCCA,Eastern gray squirrel,Boone,Watauga,D,7/25/22
2022-0828,7/17/22,RODO,Rock dove,,NA,R,10/13/22
2022-0829,7/17/22,BLJA,Blue jay,Ennice,Alleghany,R,8/13/22
2022-0830,7/17/22,ODVI,White-tailed deer,Banner Elk,Avery,EOA,7/17/22
2022-0831,7/18/22,AMRO,American robin,Banner Elk,Avery,R,8/4/22
2022-0832,7/18/22,GBHE,Great blue heron,West Jefferson,Ashe,E24,7/19/22
2022-0833,7/19/22,SYFL,Eastern cottontail,North Wilseboro,NA,R,8/2/22
2022-0834,7/19/22,AMCR,American crow,Asheville,Buncombe,E,7/21/22
2022-0835,7/19/22,BWHA,Broad-winged hawk,Landrum,Greenville,R,8/4/22
2022-0836,7/19/22,HOSP,House sparrow,Asheville,Buncombe,R,8/3/22
2022-0837,7/19/22,SCJU,Slate Colored Junco,Maggie Valley,Haywood,R,8/3/22
2022-0838,7/19/22,BARS,Barn swallow,Tryon,Polk,E24,7/19/22
2022-0839,7/19/22,MODO,Mourning dove,,NA,D,7/20/22
2022-0840,7/19/22,MODO,Mourning dove,,NA,D,7/23/22
2022-0841,7/19/22,TECA,Eastern box turtle,Elk Park,Avery,EOA,7/19/22
2022-0842,7/19/22,AMRO,American robin,,NA,E,7/21/22
2022-0843,7/20/22,DIVI,Virginia opossum,Marion,McDowell,DOA,7/20/22
2022-0844,7/20/22,DIVI,Virginia opossum,Marion,McDowell,DOA,7/20/22
2022-0845,7/20/22,DIVI,Virginia opossum,Marion,McDowell,DOA,7/20/22
2022-0846,7/20/22,DIVI,Virginia opossum,Marion,McDowell,PR,0000-00-00
2022-0847,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,9/12/22
2022-0848,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,9/12/22
2022-0849,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,8/23/22
2022-0850,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,8/23/22
2022-0851,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,9/12/22
2022-0852,7/20/22,DIVI,Virginia opossum,Marion,McDowell,T,2/10/23
2022-0853,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,8/23/22
2022-0854,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,9/12/22
2022-0855,7/20/22,DIVI,Virginia opossum,Marion,McDowell,T,3/16/23
2022-0856,7/20/22,DIVI,Virginia opossum,Marion,McDowell,R,9/12/22
2022-0857,7/20/22,CHSW,Chimney swift,Rutherfordton,Rutherford,D24,7/21/22
2022-0858,7/20/22,DEJU,Dark Eyed Junco,,NA,D24,7/21/22
2022-0859,7/20/22,PELE,White-footed mouse,Boone,Watauga,D,7/22/22
2022-0860,7/20/22,SYFL,Eastern cottontail,Prospect,NA,R,8/5/22
2022-0861,7/21/22,SOSP,Song sparrow,Banner Elk,NA,R,9/5/22
2022-0862,7/22/22,SYFL,Eastern cottontail,Bakersville,Mitchell,R,8/2/22
2022-0863,7/22/22,COHA,Cooper's Hawk,,NA,E,8/15/22
2022-0864,7/22/22,NOCA,Northern cardinal,,NA,R,8/23/22
